,th0,th1,th2,thp0,thp1,thp2,ng0,ng1,ng2,acceptProb,loglikelihood,acceptflag
0,0.2,0.8,1.0,0.0,0.0,0.0,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0,-369.7730450727401,1.0
1,0.2,0.8,1.0,0.2696744261899707,0.8243668518356939,1.03676468169077,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.047218785182392774,-369.7730450727401,0.0
2,0.2,0.8,1.0,0.10587423684079116,0.7866317328129464,1.005758219206514,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.03917989521042596,-369.7730450727401,0.0
3,0.2,0.8,1.0,0.18624261663999736,0.8121152971209884,1.0431615980739772,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.050445470880310206,-369.7730450727401,0.0
4,0.2,0.8,1.0,0.4221834619080992,0.8323860295873649,1.0051568891676073,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.02664699338406003,-369.7730450727401,0.0
5,0.2,0.8,1.0,0.18370617220921542,0.7678427147672119,1.0497064213467415,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.028919146217692905,-369.7730450727401,0.0
6,0.2,0.8,1.0,0.0790292934586747,0.7922789082279467,1.0114295134808324,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.031526230975617145,-369.7730450727401,0.0
7,0.2,0.8,1.0,0.14157107825397366,0.807951164698009,1.0266120802015952,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.050869368533173975,-369.7730450727401,0.0
8,0.2,0.8,1.0,0.03656155452095701,0.8234121457021125,1.07518908457151,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.042661307746997584,-369.7730450727401,0.0
9,0.2,0.8,1.0,0.230425880119126,0.868794782325544,1.0356759731532919,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.04026989540839293,-369.7730450727401,0.0
10,0.2,0.8,1.0,-0.04092035198551314,0.7592344075627554,1.2055933885374441,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0031669904106840434,-369.7730450727401,0.0
11,0.2,0.8,1.0,0.26554860232980315,0.8172368628042807,1.0857137923414417,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.02998294358907512,-369.7730450727401,0.0
12,0.2,0.8,1.0,-0.0029225435524646154,0.8032570316677511,1.054373291623571,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0374954006069294,-369.7730450727401,0.0
13,0.2,0.8,1.0,0.17557032250281784,0.8203482744240863,1.0157050421122085,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.03765996912582017,-369.7730450727401,0.0
14,0.2,0.8,1.0,0.036269318182319786,0.8233027059032937,1.020362188686911,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0536796553047005,-369.7730450727401,0.0
15,0.2,0.8,1.0,0.028428696253930665,0.8267896559405535,1.0445475161826314,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.06183820104855227,-369.7730450727401,0.0
16,0.2,0.8,1.0,-0.0395446085820447,0.7990446974771941,1.066675270399483,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0439170767795652,-369.7730450727401,0.0
17,0.2,0.8,1.0,0.373745064298761,0.7908458485383504,1.0240850311325111,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.01995879633550873,-369.7730450727401,0.0
18,0.2,0.8,1.0,0.10740352758313215,0.845767376068226,0.9973041036962815,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.037494364112122244,-369.7730450727401,0.0
19,0.2,0.8,1.0,0.175201814750117,0.8365868199387549,0.9775013244456148,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.0663522509905566,-369.7730450727401,0.0
20,0.2,0.8,1.0,0.0562324790969426,0.8270767313792426,0.9467805157446003,-0.25220674455084774,0.028639965791915325,0.06350690056103382,0.02723064248336251,-369.7730450727401,0.0
21,-0.045903499319725205,0.8338246732223541,1.0316742860398136,-0.045903499319725205,0.8338246732223541,1.0316742860398136,0.014363546208016087,-0.013265077684001746,0.03401195638995883,0.05231328688553134,-369.84838557440503,1.0
22,-0.13524969384271285,0.812761405375353,1.0551583615661662,-0.13524969384271285,0.812761405375353,1.0551583615661662,0.1003475489959676,0.00943280055888626,0.008281615655261037,0.815885601150891,-369.09587940608367,1.0
23,-0.2584326271875227,0.7764761883787407,1.021987021977458,-0.2584326271875227,0.7764761883787407,1.021987021977458,0.2356159910685388,0.05016532835323939,0.03441380415093906,1.063911710851177,-368.56185224125056,1.0
24,-0.009106491598553479,0.7953634354262323,1.055062743664631,-0.009106491598553479,0.7953634354262323,1.055062743664631,-0.03283925899385113,0.028920349974070916,0.008335575391671485,0.8023013433454588,-368.94721140960445,1.0
25,-0.23243877238821875,0.8153999258009286,1.05388679309952,-0.23243877238821875,0.8153999258009286,1.05388679309952,0.19817689121672763,0.00809342437739554,0.00803112685110665,1.4122662332986802,-368.88175348829117,1.0
26,-0.14141058426399813,0.8337668518619525,1.0904949761810139,-0.14141058426399813,0.8337668518619525,1.0904949761810139,0.10515923818435656,-0.009450830831343189,-0.019636437459619856,0.8679799081893843,-369.7095755474468,1.0
27,-0.20523883648358549,0.8506968010812441,1.0568554870717137,-0.20523883648358549,0.8506968010812441,1.0568554870717137,0.16554260873615168,-0.030178031051340197,0.013274039662140058,0.9344445363804385,-370.3553437802758,1.0
28,-0.0127802336805517,0.8525531362851582,1.0612639927911611,-0.0127802336805517,0.8525531362851582,1.0612639927911611,-0.00946535174134045,-0.029555943802877738,0.006657440961812352,1.1076392874995338,-370.45333534938527,1.0
29,-0.0127802336805517,0.8525531362851582,1.0612639927911611,0.5775049996571504,0.8222525667812484,1.0549100797722637,-0.00946535174134045,-0.029555943802877738,0.006657440961812352,0.29632755265960303,-370.45333534938527,0.0
30,-0.0127802336805517,0.8525531362851582,1.0612639927911611,0.00021018152380456248,0.7961010167412641,1.0102509169051581,-0.00946535174134045,-0.029555943802877738,0.006657440961812352,0.7082775661662948,-370.45333534938527,0.0
31,0.040195214160198535,0.8561704913763948,1.0610014102846044,0.040195214160198535,0.8561704913763948,1.0610014102846044,-0.05629395034365893,-0.03399129920131954,0.009942763394808847,0.808209187450014,-370.84332078764834,1.0
32,0.14062511184768645,0.8041539804773808,1.0751512953577513,0.14062511184768645,0.8041539804773808,1.0751512953577513,-0.17610544426994512,0.024142172818265886,-0.011471769971946785,1.159156641353429,-369.09956406251376,1.0
33,-0.28311727134422404,0.8328728322737539,1.1263222189392057,-0.28311727134422404,0.8328728322737539,1.1263222189392057,0.23618177402991103,-0.005348473651250004,-0.04721903036826155,0.8226976855139913,-370.1890231428463,1.0
34,-0.16210941539766444,0.8185504942185966,1.0399395351297633,-0.16210941539766444,0.8185504942185966,1.0399395351297633,0.12616977300833518,0.003288214122782101,0.022123512172717373,1.376816059964031,-369.1538690808799,1.0
35,0.00883047901318107,0.7762168918621437,1.02459068811896,0.00883047901318107,0.7762168918621437,1.02459068811896,-0.060849502726044224,0.05100620706087227,0.03217762524212195,1.0634958546734898,-368.5991829719704,1.0
36,-0.07856569589271081,0.865298279181841,1.0871258257478498,-0.07856569589271081,0.865298279181841,1.0871258257478498,0.051475120300940765,-0.04202767810834085,-0.009707124997781178,0.4822957212708897,-371.3981381363125,1.0
37,-0.07856569589271081,0.865298279181841,1.0871258257478498,-0.11081556628036274,0.9213033584530784,1.0231467781884291,0.051475120300940765,-0.04202767810834085,-0.009707124997781178,0.37069198857291213,-371.3981381363125,0.0
38,0.06831586239482097,0.8275972111444283,1.0672554858805356,0.06831586239482097,0.8275972111444283,1.0672554858805356,-0.09343327505007804,-0.00282498582902101,-0.0007800468909314762,1.6749083460717855,-369.4932411222484,1.0
39,-0.179622178791198,0.8592453491270943,1.0955181614427,-0.179622178791198,0.8592453491270943,1.0955181614427,0.14028460172682525,-0.03506634734126196,-0.017779613199728164,0.6974944519720866,-370.9312070891433,1.0
40,0.06473217943161187,0.8463232458597304,1.1042995630725105,0.06473217943161187,0.8463232458597304,1.1042995630725105,-0.0781064761270642,-0.019831047353171462,-0.027737182391947054,0.9080090919970987,-370.73497956818903,1.0
41,0.09227722928713517,0.8237315755344723,1.1506908432356189,0.09227722928713517,0.8237315755344723,1.1506908432356189,-0.11152916391611849,0.005017595836966084,-0.061681394768568425,0.8666418878868483,-371.0022340048422,1.0
42,-0.36042889071317563,0.8143762835052906,1.0904682933709167,-0.36042889071317563,0.8143762835052906,1.0904682933709167,0.31816476002223554,0.01158503415143084,-0.020547813876535898,0.9924416621937237,-369.4921689025635,1.0
43,-0.39607189150307487,0.8530500945885909,1.12826287814748,-0.39607189150307487,0.8530500945885909,1.12826287814748,0.32932659387702934,-0.023448802712538477,-0.04455126640244466,0.912709920786647,-371.3084950198041,1.0
44,-0.30472237673080593,0.8315622215938099,1.030920443440213,-0.30472237673080593,0.8315622215938099,1.030920443440213,0.2615222639995479,-0.009223649211125765,0.03105850327637956,1.9858327581487456,-369.69290452004714,1.0
45,-0.23996628013459387,0.8453100204525503,1.0442744412555764,-0.23996628013459387,0.8453100204525503,1.0442744412555764,0.19570584722617965,-0.02392221566688129,0.020923649680897844,1.1660322031897783,-369.9520893864328,1.0
46,-0.28578149679427406,0.8065983759184809,1.0445662647503808,-0.28578149679427406,0.8065983759184809,1.0445662647503808,0.2511900135313708,0.01772435561692637,0.014982940222033657,0.7294433295756848,-368.98762628789467,1.0
47,-0.28578149679427406,0.8065983759184809,1.0445662647503808,-0.10714324549110374,0.7719830072989896,1.009383529987786,0.2511900135313708,0.01772435561692637,0.014982940222033657,0.8490845302458067,-368.98762628789467,0.0
48,-0.5272166012261524,0.8266491553313572,1.055001619163173,-0.5272166012261524,0.8266491553313572,1.055001619163173,0.4762870378994407,0.001265783991903053,0.010288236763681511,0.495299686325963,-370.00834574651554,1.0
49,-0.18702500121662172,0.8106616619500215,1.0323353298493092,-0.18702500121662172,0.8106616619500215,1.0323353298493092,0.14978353904619937,0.01167961173746555,0.02867634496394841,2.4475264074990104,-369.1200960764688,1.0
